,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwXNy7fqkXdWkuGc5Z4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Ксения Ксения,в бандане какой то воспитанный бабушкой чувак. кто за такое пойдет замуж..еще и 10 раз,2020-06-28T18:03:48Z,0
1,UgxbsunusZ5sXeJ7B8R4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Oleg P,"Я читал, но забыл...",2020-06-27T14:30:13Z,0
2,UgxXYunRE2JLUKcU3mB4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,ЦИН 8636,"Люди даже не читали, но собираются голосовать. Ог Мандино:""У толпы нет интеллекта.""",2020-06-27T08:10:58Z,0
3,UgyhnaZKy1CjB0AqTAt4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Unicorn Dirge,"мне кажется, или чувак ""10 браков"" - просто  тролль? х)",2020-06-25T13:35:14Z,0
4,UgyC8UCkCok3HXQfHnV4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Петр Коблов,Смотрите ролик фейк . Само название это фейк осудить,2020-06-24T14:57:40Z,0
5,Ugw7cTtReoLLmPZB_Yx4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Лариса Гордеева,"Люди дебилы, они заслуживают именно путина!",2020-06-23T14:48:19Z,0
6,Ugx4yz2q19NIcADKahR4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Сергей Сел,Ведущий  казлина,2020-06-23T13:03:57Z,0
7,UgyLqCIID6pOOaS2-B14AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Vlad Selivanov,Я планировал изучить поправки непосредствено перед голосованием,2020-06-22T16:45:34Z,0
8,Ugyfn-xHn63Ds5IyV1x4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Степан Николаевич,"Ознакомившись с репортажем понимаешь, что этот народ заслуживает ровно то,что имеет сейчас.
Закрадываются сомнения что опрошенные - коренные москвичи.",2020-06-22T10:33:45Z,0
9,Ugwna_CONYyc2GrMo-R4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,milawka375,"Бля ну так-то да, правда нужно изучить",2020-06-22T10:08:57Z,0
10,UgymXuApO8LEH_xgLV14AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Александр Иванов,"""Я не против. Пусть."" Так и живём 🤷‍♂️",2020-06-22T07:35:50Z,0
11,Ugw4M7qNpFlsih4bZLR4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Kate Ptaun,"Только это не референдум, как сказал корреспондент вначале
Садись, два",2020-06-21T18:51:33Z,0
12,UgwDdNOyJC9N0GJQNO94AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Марина Ерошенкова,"Поправки ЖЕСТЬ! Все для себя любимых, но не для народа.",2020-06-21T05:29:07Z,0
13,Ugzq1IBEdOcq5p80Z2l4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Шурик публичный,"пипец. Были ли другие опрощеные, статистику приложили бы. Хоть одного чёткого встречали?",2020-06-21T00:05:14Z,0
14,UgxNIbpyrSnDjvO8UoZ4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Георгий Редикальцев,"задумка хорошая, но... нарашивает взаимное гражданское недоеверие... хотя финальное разрешение видео не плохое
5:12 даже он говорит ""голосуйте правильно"" - жесть... ""пластмассовый мир победил...""",2020-06-20T07:33:40Z,0
15,UgzdOZiBN_chG1wJu8B4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Виталий Тургамбаев,Я за поправки...,2020-06-20T04:36:16Z,0
16,Ugz0pwEA14UO5tg5SbV4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Ed Lauren,"Обнулись-Шоу это незаконная байда, я туда не пойду!",2020-06-19T23:22:03Z,0
17,UgwJSosrGm-vPB5A5Fh4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Лариса Виноградова,"Почитав коменты ,я поняла, что большинство не читало поправки и тем более не вчитывалась Смотрите вы уже проглотили пенсионную реформу Хорошо почитайте и подумайте",2020-06-19T16:27:08Z,0
18,UgzF60EpAv0xcNYtX3x4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Natalia Veloni,Что и требовалось доказать. Молодец))) опрос супер,2020-06-19T15:55:00Z,0
19,UgzWyfl9I4J9F3quMCh4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,4,Дмитрий Лебедев,"20 лет ,😳😳😳 не хватало, что ли,.    Валить путлера,..  враг народа номер  один",2020-06-19T15:18:48Z,0
20,UgylWBktsAxRYst2LDh4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,free electricity,"Маразм а не поправки.
Дед вовка болеет деминацией
Не излечим. Деградация 100%",2020-06-19T13:33:51Z,0
21,UgxgBtIVWXdYj-3VsQB4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Tatyana Sviridova,А где взять конституцию изучить и прочитать,2020-06-19T11:46:35Z,0
22,Ugw5I3sYo6e_eB0dG5N4AaABAg,ENBe9fNTa-w,Телеканал Дождь,1,0,Захар Чеботареы,"Самые нормальные люди это цыгане  они уже знают. Государство            не побидиш.  
 Опг",2020-06-19T09:49:38Z,0
23,Ugw5I3sYo6e_eB0dG5N4AaABAg.9A4g_xT5fvm9A81PAAMTf7,ENBe9fNTa-w,Телеканал Дождь,0,0,Digty GD,Соболезную,2020-06-20T16:57:59Z,1
24,UgxOnEVQxFH6N7O7cwV4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Игорь Кошкин домъ Кошкин,"мда, феййк",2020-06-19T09:18:20Z,0
25,UgyUN0nO-seYpD4GV5F4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Svetlana P,",,Высокие мечты"" у нашей молодежи--10 браков",2020-06-19T08:43:40Z,0
26,UgwRN5Zfn5_7GahaeYF4AaABAg,ENBe9fNTa-w,Телеканал Дождь,1,0,Артем Чепурко,Бота видно из далека !),2020-06-19T08:35:10Z,0
27,UgwRN5Zfn5_7GahaeYF4AaABAg.9A4Z3XqiKcP9A81T4Qklxl,ENBe9fNTa-w,Телеканал Дождь,0,0,Digty GD,Кто?,2020-06-20T16:58:31Z,1
28,UgwTS4YCaLBGEu9nHKl4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Счастье! Вот Оно!,"Фашизму конец! Живая Женщина всех освободила! Фашизму конец! Живая Женщина всех освободила!     
 @",2020-06-19T07:31:13Z,0
29,Ugz4KEmT2kV9OqkVvYZ4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Дмитрий Сытай,Хиппарь в бандане жЫрный тролль😅,2020-06-19T07:29:48Z,0
30,UgyxKhWGdnDYbKWOMOB4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Финдус Финдусович,Я запрещаю Путину управлять страной.,2020-06-19T06:28:43Z,0
31,Ugy_0cR-C3vNvlJ3Hs54AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,rus22 Barnaul,"Ну бараны же , байкот",2020-06-19T05:02:44Z,0
32,UgzeSRMqf5Mmqh4dOH54AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,сочинский таксист,"Этот урод с цепочкой не должен голосовать.
Он тупой",2020-06-18T22:30:57Z,0
33,UgyP_l3r4t9cphCEOpF4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,2,Георгий Антонов,"- Не знаете, в какой концлагерь нас везут?
- Нет, я не интересуюсь политикой.",2020-06-18T16:45:32Z,0
34,Ugw_qLeDogNNwuJ3Sgp4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Diversant Diversantov,"Я такой садо - мазохист, что проголосую за поправки, особенно мне нравится тот пункт, который дает каждому после принятия обнуления проститутина платную бутылку в жопу, а комуто и кегу.",2020-06-18T15:28:46Z,0
35,UgzfcGqjl4GVUSvn3BZ4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Ольга Кулагина,"И только один сказал, что против.",2020-06-18T15:01:08Z,0
36,UgyTEUzl2DraE2zowxR4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Pangaea Ultima,"Никто ничего не знает и знать не хочет, поэтому жить всем в дерьме и дальше.",2020-06-18T14:38:15Z,0
37,UgwKHZbZ43pQkXSdLyB4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Глафира Иванова,"Голосование где нет места и условий  для наблюдения,- не голосование, а заведомый одобрямс. Не надо эту смешную процедуру голосованием называть! Плебесцит, как сказал сказочный ...не знаем за что, но пойдем. Рекламы котиков по телеку насмотрелись.  Тут на лицо недостаточное информирование граждан, чтоб они смогли сделать выбор, нужно ли им это все вкупе и много возможностей натянуть одобрямс.",2020-06-18T13:20:37Z,0
38,Ugx0r5g8D-1Eom2Ze_l4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Глафира Иванова,"Не пойду,если не изучу- хехехе. Молодец не изучай и не ходи потому что там дичь и абсурд, даже для нашей псевдодемократии!",2020-06-18T13:14:41Z,0
39,Ugz-K_PQn72kLCx3aeh4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Dududuki Debilov,умалешеные а паправки то уже приняты у уже в новой конституции...пойдете голосовать попросите укольчик или сразу что бы Вам чип поставили Вы уже подготовлены к этому..,2020-06-18T12:14:32Z,0
40,UgzBIla8u6COiAbQVKN4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Джиген Сосуд,Какая разница что будет написано в поправках мы голосуем против возращении монархии,2020-06-18T11:07:00Z,0
41,Ugy6rwJwSA71nryczkd4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Alexand Ivanov,"С самого начала и враньё!! 
Ты жиробас чего несешь!? Какой референдум!!??- ""всенародное голосование"", а не ""референдум""!",2020-06-18T07:13:42Z,0
42,UgyVjj173qn60DEhyFB4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Евгений Морфеус,"На самом деле, поправки нужны! И в дождь...и в стужу.))",2020-06-18T06:07:39Z,0
43,Ugx5nnjQTf8xVFLAwbZ4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Натан Гончар,"Уважаемый Дождь! Разобрали бы поправки, там же много всего кроме обнуления и скреп, например новые условия создания СЭЗ не понятно где, интернет теперь в ведении государства, условия неприкосновенности изменены. Кроме поверхностных оппозиционных роликов про обнуление ни чего не нахожу в Ютубе... Спасибо, конечно и за то что делаете, это важно!",2020-06-18T05:33:14Z,0
44,UgzG_dYS_DZ_5T1kA1h4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,ваня бродский,1:08 сестра титомира?,2020-06-18T04:59:46Z,0
45,Ugzfw5hc6nLA3ApBIGd4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Requiem,"Завуалированная статья про обнуление. То есть понятно ли гражданам про что эта статья?
Лучше бы этот вопрос задавали.",2020-06-18T04:53:33Z,0
46,UgyxYdQdaMR8k99iMjx4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Николай Петрушенко,Походу волосатый сын одного из чинушей,2020-06-18T04:04:44Z,0
47,UgzLJzDn--KhvrjUcOV4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Альберт Несходовский,Процентов 70 её даже и не читали.,2020-06-18T03:45:26Z,0
48,UgxPQ3vG5uarj1wRgj54AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Антон Петров,"Обалдеть, Дождь что-то стоящее сделал, призвал прочитать поправки. Но всё равно это ложка мёда в бочке дёгтя",2020-06-18T03:23:28Z,0
49,UgxL8AghGf209cbrU_t4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Natalia Mateeva,В начале видео сказали референдум... Какой референдум? Они специально не сделали референдум.  Это фарс.,2020-06-18T01:27:14Z,0
50,Ugy3_EDyPxbyk4DbLIJ4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,1,Андрей Егоров,"Конечно никто ничего не понимает, потому что поправок 78! В истории США за более чем 200 лет существования Коституции в нее внесено всего лишь 27 поправок! Вот вам и ответ. Посмотрите список этих поправок - они все реально продуманные. На мой взгляд из 78 поправок нам, свободолюбивым гражданам, не нужны 78. Большинство поправок не имеет никакого смысла: индексация пенсий должна работать и без конституции, завтраками детей в школе можно обеспечить и без конституции. Это все бред собачий! Важны там только несколько поправок и среди них, конечно же, наиважнейшей является обнуление Вована. Давайте не допустим этого!",2020-06-17T22:28:04Z,0
51,UgzvdzU-HyMPkLtHzEF4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,as sa,Супер!,2020-06-17T21:45:57Z,0
52,UgxNBhRfiou4iffYuHN4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,as sa,:),2020-06-17T21:44:00Z,0
53,Ugx5jOEKNWnRaMYujGR4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Вадим Барышев,Беда,2020-06-17T20:01:51Z,0
54,UgzhknihiNDNy4U5hqx4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Галина Козлова,"Цирк с конями. Называется, что выросло, то выросло. Мальчик с повязочкой на голове это и есть лекторат власти. Браво. Аплодирую стоя.",2020-06-17T19:13:10Z,0
55,Ugxmv5YjMp6-Y58P_YJ4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,зинур гиндуллин,дубов ещё хватает!,2020-06-17T19:12:38Z,0
56,UgzL_jIkqQn9DnTdGdt4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Serg Seja,"Голосование, балда, а не референдум.",2020-06-17T19:06:43Z,0
57,Ugxzr5S-uQAxX0hqb054AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Внук Ельцина,"Вот за какие поправки я бы проголосовал:
1) Переход к парламентской республике, выбираемой по партийным спискам. Разрешаются региональные, национальные и прочие партии.
2) Власть России опирается на русский и другие коренные народы России.
3) Один человек не может быть президентов более 2-х пятилетних сроков. Любые пересмотры этого пункта считать узурпацией власти, а все решения - нелегитимными.
4) Россия - федеративное государство, разделенное на 50 губерний и 1 генерал-губернаторство(Чечня, Ингушетия, Дагестан). Национальные республики запрещаются.
5) Россия - государство исторически сложившееся в традиции православной веры, и православие является душой русского народа. Церковь отделена от государства
6) каждый человек имеет право на хранение оружия для защиты себя, своей семьи и собственности. 
7) В случае узурпации власти и нарушения конституционного строя,в случае массовых фальсификаций выборов граждане имеют право и обязанность на вооруженное восстание для восстановление конституционного строя",2020-06-17T18:58:17Z,0
58,UgyGzLpSzEdpfppru6R4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Макс ART,0:42 тупо втащил за пиздежь.,2020-06-17T16:43:34Z,0
59,UgxlxFzA-TB5GheFLdl4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Сергей Воронцов,Меня только одно интересует: когда путина и его банду посадят пожизнино за геноцид народа.,2020-06-17T16:37:08Z,0
60,UgwPbnXfEgKiUBcUVz94AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Al Brook,"вы не поверите, но даже у нас на работе полно дебилоидов, которые говорят - а кто кроме ВВП? пусть уж лучше он, так что голосовать пойдут многие",2020-06-17T16:11:11Z,0
61,UgxdPhvCwRllkHSQWPZ4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,небесный воин,80 % наших граждан равнодушные имбицылы которые даже не задумываются когда им задают вопросы касаемо политики...это крах общества,2020-06-17T15:48:29Z,0
62,UgxfI7EtRdFbP12idml4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Евгений Петров,"Зачем мне читать изменения конституции,если голоса подделают.Новая конституция уже в магазине продается.За каждую поправку выделять день и отдельную строку. 
Не будет Путина-не будет коррупции!!!
Мы против ПУТИНИЗМА!!!
МИТИНГОВАТЬ ВМЕСТО БЕССМЕННОГО ПОЛКА, ГОСУДАРСТВО ДАВНО ТОЛЬКО И ПРИКРЫВАЕТСЯ ВЕТЕРАНАМИ!!!",2020-06-17T15:45:08Z,0
63,UgxEWhuFI-01Gg76pal4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,небесный воин,"Я родился в стране равных возможностей ,но мои дети будут жить в стране с крепостных правом",2020-06-17T15:42:52Z,0
64,UgwT28QRvXNEf4mduat4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Александр Гусев,"Лучший коммент: ""Если они за рубежом, значит у них и так все хорошо""😁",2020-06-17T15:27:31Z,0
65,Ugy5IBpLE5km0bOhfh54AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Саня Малой,"Ман,в очередной раз п*зда,с такими людьми,люди так за 20 лет и не поняли,что для своей страны,точней для её развития,это власть нихрена не сделала",2020-06-17T14:57:49Z,0
66,UgzpnMWeC7f8UvkFeW94AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Андрей Архипов,Да уж..с такими голосующими власти ничего не страшно,2020-06-17T14:41:06Z,0
67,UgzxJd44eYrnW7A7RLd4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Егор Мищинов,"2:56 ""Если они зарубежом проживают, значит у них всё неплохо""
Всё, что надо знать о России.",2020-06-17T14:40:02Z,0
68,UgwABI7lUe_UlI4LpTN4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Elena Иванова,Планктон,2020-06-17T14:35:41Z,0
69,UgyhQH5IBSfFj-GSQlZ4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Саша Шах,Люди очнитесь вы что несёте?!,2020-06-17T14:33:17Z,0
70,UgwW4ZO8_mHAnOJsuwx4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Саша Шах,Такие овощи я в шоке,2020-06-17T14:32:31Z,0
71,Ugwa1BSw1rPh8CJDgFZ4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Ekaterina Agapova,"Не смогла досмотреть до конца, у меня бомбит)",2020-06-17T14:22:09Z,0
72,UgwfcDI5w4ZZM1fVROV4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,антон мишель,это не референдум,2020-06-17T14:16:08Z,0
73,Ugy87MB4jETzkt24za14AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,ЯMR,"Страдания  хуйней,все уже проголосовали.",2020-06-17T13:42:09Z,0
74,Ugzhn9wEnUDT6ASfLPB4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Александр Фадеев,У нас надо как в древнем новгороде не нравиться князь народу собирай манатки и катись кобыле в трещину.,2020-06-17T13:00:05Z,0
75,Ugyh85HH0aKR0F6lbh54AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Нина Иванова,Не надо никуда ходить!,2020-06-17T12:39:47Z,0
76,UgyLb6btIARpB8WQmId4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Михаил Жилкин,"Чтобы мой отказ от принятия конституции не приняли за согласие, т. е. Использовали мою явку, голосовать не пойду. Надоел этот фарс за последние 30 лет.",2020-06-17T12:16:34Z,0
77,Ugw8fEEubteii1MrSjB4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Людмила Борисова,Наш народ разучился думать!,2020-06-17T12:11:54Z,0
78,UgzEfmdeqSCK3OOFQJl4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Д. С. Минин,Зачем вообще жениться в 2020 году? Только аленияки непрозревшие женятся,2020-06-17T11:38:54Z,0
79,UgzRaMrrV97aPB3MmxZ4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,ЭРНЕСТО ЧЕГЕВАРО,"Человек единственное живое существо которое вредит самому себе !  Это происходит от малого ума ... Может это и звучит жёстко но я был бы за вакцинацию принудительную тех у кого низкий  интеллект !  В принципе так и будет однозначно все кто головой не думает дадут себя уколоть в рамках этого короно вируса ! Лучше меньше да лучше , чем много чего нибудь !",2020-06-17T10:54:01Z,0
80,Ugw9fGEgthsvJlWDVHB4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Gala Guesswho,"Это имело бы смысл, если бы голосовали за каждую поправку",2020-06-17T09:57:25Z,0
81,Ugwxzsw0ABdEzLrZjGZ4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Ирина Питер,Вот этот придурок в бандане и есть электорат путина.🤣,2020-06-17T09:42:25Z,0
82,UgynD0T1mTNz3PwOQIN4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Ектерина Иванова,"странно говорить о том, чего не существует нет такого государства как РФ...это торговая компания у тк не может быть конституции",2020-06-17T09:40:45Z,0
83,Ugw1iibmTJ4OhBpyZTV4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Анастасия Дабаева,"В смысле давно нужны поправки? Как эта женщина это определила, если она даже не знает этих поправок и Конституцию скорее всего тоже",2020-06-17T09:36:11Z,0
84,Ugw-nbvN3Mf06uDu82p4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,1,Roman K,Почему большинство блогеров картавят?,2020-06-17T09:02:44Z,0
85,UgzRBbHdVylX4iBRtep4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Андрей,Да ини не одной поправки не прочитают ч в этом уверен ( стадо ),2020-06-17T09:02:12Z,0
86,Ugw022jjzrtvUFERu8x4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Андрей,Они что ипанулись? Поправщики,2020-06-17T08:56:50Z,0
87,UgyTToVwfSjSgoyBs7Z4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,1,Konstantin Nakonechny,"При чем здесь Полонский и Женщины сверху? Да, и тот парень кривляется много, который за Путина типа. Эм, выглядит странно.",2020-06-17T08:41:19Z,0
88,UgxyVxZp6Jc-R8nsohB4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Willi Wonka,Поставил..вам..Диз..за..слово..Референдум...не..думаю..что..вы..случайно..его..произнесли...Это..ход..подлизать..кремлю...не..иначе..,2020-06-17T07:23:40Z,0
89,UgwQ6s7V-U1ve3gC2fp4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Сергей Сергеев,"мне кажется , вы опрашивали исключительно идиотов....или это не специально?",2020-06-17T07:20:30Z,0
90,UgyacEwwFyvr1XYIAgp4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Vicont4063,*Пусть на*й запрещают гражданство чинуш и прописок! Живут в такой хорошей стране и с**и на загнивающей гейропе жильё имеют!*,2020-06-17T07:19:46Z,0
91,Ugz7qO2z7L7jZ7O__Hl4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Илья К,"Какие же децелы, кто за всю эту фикцию и преступление против страны и народа",2020-06-17T06:56:35Z,0
92,Ugw2n38y4YQZLqnBjaF4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Кирсанов Иван,Только ПРОТИВ!!!,2020-06-17T06:37:33Z,0
93,Ugy_DXxHDOeetFzhSdZ4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Anna Frolenko,1:45 это вообще что за чел🤣,2020-06-17T06:36:35Z,0
94,UgwyzfWwkl2uCyRg7zh4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Просто так,А причём поправки? Про обнуление промолчали а это главная причина проголосовать против,2020-06-17T06:16:39Z,0
95,UgyPlYBKghvtCDc-dqN4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,ARSEN1308,"Прав Леха, они ничего не знают",2020-06-17T06:15:21Z,0
96,UgzWiI-Lo1jckuRREUR4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Просто так,Дура что ты там можешь решать,2020-06-17T06:12:38Z,0
97,Ugz8GUDu9MQkC5-OYvF4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Йцукенг Лол,"Где можно прочитать сами поправки, а не утверждения обоих сторон???
Я гуглю ""поправки в конституцию"" и вместо того чтоб выдать сами поправки выдают утверждения либо провласные либо опозиционые. Пж киньте ссылку где можно прочитать сами поправки и хорошие, и плохие, а не чье то мнение",2020-06-17T05:45:50Z,0
98,Ugyt7tH-Rgdt7Gb4HGF4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Злобный Вентиляторщик,"Я то же не изучил поправки, но и голосовать не пойду, по одной простой причине это бандитское государство ни чего хорошо все равно не сделает, в том числе и поправки.",2020-06-17T04:34:36Z,0
99,Ugxoykox_IanoLohQch4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Анна Миронова,Какой референдум? Вы о чём? Голосовалка по подворотням-вот название.,2020-06-17T04:18:13Z,0
100,Ugw4y6k0c2BvmCKgTzZ4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Sotovik Sotovik,Поправка конституции зарплата чиновникам правительства и депутатам и рабочим должна быть одинакова. Будет жить хорошо народ россии будут жить и чиновники и депутаты а ОБХС должен контролировать. Отменить двойное государство. Президенский срок только 4года.,2020-06-17T02:10:15Z,0
101,Ugx17gf3nKwIWLT8yp14AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Василий Иванов,"Сытые довольные москвичи, молодой сытый урод в москве конечно будет хотеть 10 браков и говорит, что путин лучше всех. Вот вам и молодёжь. Нам хана короче. Бегите, пока границы открыты, вот мой вам совет, просите политические убежища.",2020-06-17T01:29:14Z,0
102,Ugz1C2gKeeW7GyYVJ5x4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Шахбан Нухов,😲,2020-06-17T01:25:18Z,0
103,UgwntD36J3Oeocnxbap4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Максим Ефименко,Да как только вы примете поправки вам конец!,2020-06-17T01:20:54Z,0
104,UgxA9v9ww7hsxD8ndy94AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Rosie Mi,Фу картавый,2020-06-17T01:19:52Z,0
105,UgxVLgOctaFG2aFLF4N4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Alisa Abdullah,"Правда,  не нашлось ни одного среди опрошенных кто бы сказал «вся новая конституция фейк» 😒 от перемены мест слагаемых сумма не меняется.. пены из воды не будет. Не сходите с ума. Сходите и проголосуйте «Против», да они все равно огласят «за» я даже назову примерную цифру 51-52%, но пусть эти скоты знают что народ «ПРОТИВ»",2020-06-17T00:07:35Z,0
106,UgzajbWtE3jqzLu2Mat4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Елена Герц,Вот как дурят народ! Тоже мне  пропаганда...,2020-06-16T23:52:30Z,0
107,UgxGexfqGEBpY2F9uXN4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Indiana Jones,Волотый жополиз,2020-06-16T22:24:19Z,0
108,UgxpcI-mVycCguY9ksR4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Qwer Ty,"Да, жалко нет я ЗАДОРНОВА ну какие тупые, хоть и наши, а не американцы. Насколько народ убит, зачухан, смотреть и слушать противно, страшно. А дальше что?",2020-06-16T21:15:14Z,0
109,UgzvV8Qr3pqi0Fh8zil4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,1,Олег Суров,"Сколько же народа не знают за что голосуют! Страшно даже, там кроме отвлекающих ,столько завуалиренного что с лёту и не разберёшь а мышеловка уже захлопнута! Сами себе верёвки плетут и мылом натирают .",2020-06-16T21:08:18Z,0
110,Ugx40EHj1jyRB4yOwv14AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,EL’ Mira,Это розыгрыш что ли какой-то !?,2020-06-16T20:58:08Z,0
111,UgyQb-nCRQMUn7_y2Qh4AaABAg,ENBe9fNTa-w,Телеканал Дождь,0,0,Алиса,Какая же необразованность. Парень с бородкой 🤢,2020-06-16T20:55:23Z,0
