,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyW-625vMU_bj9N_CZ4AaABAg,_zHYrHjnxRc,Телеканал Дождь,42,32,Телеканал Дождь,"0:00 - Максим Виторган - гость Натальи Синдеевой
4:27 - О личной жизни после Ксении Собчак и общении с Платоном
6:43 - О договоренностях по воспитанию ребенка
9:31 - О пандемии
17:25 - О жизни за городом
20:32 - О помощи государства
24:57 - О путях Швеции, Италии и России
27:05 - О поправках в Конституцию
31:42 - О текущих отношениях
34:21 - О том, почему общество перестало возмущаться",2020-06-24T01:17:20Z,0
1,Ugw3HHc1FC2Go4U-FeB4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,nn gchkt,"Очень верное замечание о перспективе, об осознании ненужности и невостребованности. 
Максим очень грамотный, логически мыслящий, и при этом добряк",2020-07-03T06:39:34Z,0
2,Ugz1Nb0E1yT3m6Si45d4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Maryah Marcle,Ведущая не профессионал,2020-07-03T00:16:08Z,0
3,Ugwm_6LkxPdQ18lf41x4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Tamilla Toms,Как я его обожаю,2020-07-02T12:40:13Z,0
4,UgyHNjMxLVr3Uz84sE54AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Юлия Тищенко,"Да мы увидели какая медицина в России. Какие дороги в России. Какое правосудие в России.. какая Россия врунья... какая Россия воровка!!!  Может вы не знаете ???? Как ваша Россия- приняла груз 200!!! Захватила часть территории Украины!! Вы никогда не будете братьями , даже двоюродными!!!! Страна у вас большая , а у нас великая!!! Надеюсь в России когда нибудь люди поумнеют и перестанут врать! Я о чём..  вы немного обманываете себя и делаете лёгкую версию .... А на карантине Москва показала, что она может стать версией Китая- страной ,;где права граждан одни- любить компартию...... кстати ... ничего личного ...",2020-07-02T11:55:00Z,0
5,Ugygno_GWk0WtiSaLkR4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Вера Иванова,"Это не первое скучное интервью Синдеевой, думала просто неудача интервьюира, но так и продолжается.",2020-07-02T03:41:52Z,0
6,UgymAsAHCOvVXXhgmYB4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Kora,Синдеева выглядит замечательно!,2020-07-01T22:25:14Z,0
7,UgxDuSNdZSNZuzPn0_B4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Olga T.,"Бесит, когда при сравнении России с заграницей, обобщают все страны, ""здесь и там"". ""Там"" большой и разнообразный! Говорите конкретно, где ""там"".",2020-07-01T21:23:20Z,0
8,UgzMZN55VTHraFpfMAZ4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Anna Doronina,Синдеева так похорошела внешне!,2020-07-01T19:01:42Z,0
9,UgxhGCeeUCc02WBclft4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Анна Мичурина,Очень понравилось интервью. Спасибо!,2020-07-01T15:40:44Z,0
10,UgxT8aJkYALJhSiMNhh4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Diana Simkovich,"Синдеева стала до умиления поверхностной .... как можно сравнивать карантин в Германии, где государство выплатило всем зарплаты и поддержало бизнес и Россию, где даже официального карантина не было объявлено?! 🤦🏻‍♀️",2020-07-01T10:45:59Z,0
11,UgwlsucsRuk2m5MBKQV4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Lyudmila K,Ведущая отвратительна,2020-06-30T17:07:28Z,0
12,Ugw9jMeE_f57rYOCu4p4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,маргарита константинова,"Уважаемая Наталья,смотрю иногда телеканал Дождь,когда вы берете интервью. Пока мне это интересно. И вот что я наблюдаю (большей частью за собой);мне никогда не был интересен Максим Виторган и его отец,тоже артист. Не потому что,они какие то,а просто было не интересно и все. Точно также у меня было с артисткой М.Нееловой. Но последние 2-3 года,я смотрю на М.Виторгана,а сегодня и послушала его интервью вам- он интересный человек,его приятно слушать,в нем нет стёба,как часто бывает у известных личностей. Нет какой-то противной показухи,человек высказывает свои мысли и говорит то,что он думает. Это обнадёживает. Его волнуют простые вещи, как и всех людей,у которых схожие ценности в жизни.Спасибо вам,спасибо Максиму.",2020-06-30T14:00:17Z,0
13,Ugw78M7UHUQo7951y2p4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Ekaterina Zhitnik,"Я не поняла, кто гость?! Максим, как всегда прекрасен в своей речи, формулировании мысли и идеи! Смотрела исключительно из-за гостя.",2020-06-30T13:36:01Z,0
14,UgxtJJkIQZnnKzTHznl4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Эльдо Эльдо,Синдеева дура конченая!,2020-06-30T13:32:04Z,0
15,UgxNutFV6hNcnLurQGx4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Kotta Feya,"не знала эту ведущую,но случайно наткнувшись на два интервью в шоке от ее непрофессионализма, раздражает, не смогла смотреть..   благо есть с чем сравнить.",2020-06-30T13:08:13Z,0
16,Ugy0dL1knJz0xTVIvXd4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Ольга Кравченко,к делонги какое-то подсознательное уважение...кофе оппозиционер!,2020-06-30T11:45:54Z,0
17,UgxmD3xIwBcfImVkba14AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,пелагея зима,Шлепки в кадре?,2020-06-30T11:04:09Z,0
18,UgwDbhorMfJeO8zVnpN4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Лиана Лиана,"Дорогая Наталья! Я с критикой вас! С Лолитой интервью не досмотрела - частично из-за вас, частично из-за Лолиты. Глупые вопросы и такие же глупые ответы. Интервьюер вы откровенно слабый и ваше доброе расположение и кажущаяся себе собственная значимость в интервью с другими- это  катастрофа, не игнорируйте комментарии, работайте над собой и пожалуйста!!! не перетягивайте одеяло на себя и дайте выговориться  гостю до конца, не поддакивайте подобострастно, улыбаясь на все 64 зуба, кстати, верно заметили-вы разговариваете сквозь зубы сомкнув челюсти.  Это первое. 

второе. Продумайте вопросы и не давите  собеседника собой.  Ну вырастите же немного  в профессиональном плане, конечно, вы не сто долларов, что нравиться всем, но  прислушайтесь  к комментариям.",2020-06-30T05:57:45Z,0
19,Ugy0jkK0ZOlGJz7zY1J4AaABAg,_zHYrHjnxRc,Телеканал Дождь,1,1,motcha207,"Ведущая не умеет кратко и чётко сформулировать вопрос, все вокруг-да около вопросы приходится перематывать. Плюс дикция кошмарная - за забором зубов язык ходит, жутковато наблюдать.",2020-06-30T03:35:59Z,0
20,Ugy0jkK0ZOlGJz7zY1J4AaABAg.9AWLZrNLAK69AdQnS6vdYZ,_zHYrHjnxRc,Телеканал Дождь,0,0,Aja Aja,Импланты п0риживаются ещё,2020-07-03T06:55:35Z,1
21,UgwRwS_hvUNRHhrL7WB4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Надежда Праскова,"Ну  и зачем здесь Виторган, если ему не дают говорить? Максим, ты интереснен , на тебя мы заходим в интернет.",2020-06-30T01:35:19Z,0
22,Ugw5wl3fi9o4atPe6054AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Tatiana Rabinovitch,Во Франции ввели очень большие штрафы за несоблюдение карантина и то французы нарушали режим.,2020-06-30T01:00:16Z,0
23,UgzzJ1YF6jaCvnC5tR14AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,5,Александра Чернявская,"Виторган - милота, ведущая смотрится абсолютно неискренне, ее много, его мало, самолюбование какое-то.",2020-06-29T23:38:01Z,0
24,UgwVN_4OBdYTeEja2I54AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Marina Gerasimov,"Ведущая забежала с пляжа на ин-вью. Максиму, по-моему, было скучно. Короче, всё - не хорошо, но и не плохо.",2020-06-29T21:02:47Z,0
25,UgxjYHygDXwlqKRIvrV4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Наталья Андреева,"Хочется больше Максима, но не Натальи.",2020-06-29T19:59:38Z,0
26,Ugzd8x0SoHHmQwXQSdB4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Наталья Андреева,А мне очень нравилась пара Виторган - Собчак.,2020-06-29T19:41:08Z,0
27,Ugw0-s70CRMBNp8uLRR4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,2,El,"Странное интервью. Такое ощущение, что это ведущая - главная гостья. Дайте и Витограну слово сказать.",2020-06-29T16:06:50Z,0
28,Ugy0jMNbJRWKkm45gMJ4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Землянин Галактика,"Вижу: Максим Виторган, сразу лайк! Умница, интеллигент до мозга костей , но близок народу! Не знаю как у него это получается?! Нос не задирает, просто говорит, любит людей: всё вместе! Здоровья ему и деткам!",2020-06-29T13:58:10Z,0
29,UgzaVcbpQCQa5z8S_Kl4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Роман М,"Посмотрел 12 минут и выключил. Виторган интересен. Ведущая нет. Странная тенденция на дожде, когда женщины-ведущие уж очень увлекаются. Что здесь, что в паноптикуме. Видимо, издержки самоизоляции)",2020-06-29T13:27:13Z,0
30,Ugw-8Tl04bkEr_6xtCx4AaABAg,_zHYrHjnxRc,Телеканал Дождь,1,0,Инна Сергеева,"Это та причёска, из-за которой держат человека и невозможно самой выпрямить волосы? Что ж там с руками, у ведущей?)))",2020-06-29T13:26:51Z,0
31,Ugw-8Tl04bkEr_6xtCx4AaABAg.9AUpOdTELXs9AVY1QcalBX,_zHYrHjnxRc,Телеканал Дождь,0,0,Лариса Головченко,Ее ещё красЮт!,2020-06-29T20:05:38Z,1
32,Ugx5CiidavMnJtByvXB4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Elena Zaytceva,"мне не понравилась ведущая , задаёт вопрос Максиму , отвечает сама .",2020-06-29T12:57:48Z,0
33,UgzPZTOfRJ5XWERzCl54AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,marina kvaskov,"Наташенька забыла одеть туфли.Выглядите очень хорошо.Дай бог вам здоровья.Максима я очень уважаю тоже.Вот только одна мысль меня всегда коробит.Папа,который каждый день приходит домой и папа,который навещает своего ребёнка-это две разные вещи.Взрослые люди! Не обманывайте себя и других.Конечно,навещающий папа лучше,чем его нет совсем.Или пьющий папа,лучше его бы и вовсе не было.Но дети,которые живут в хорошей полной семье,сильно отличаются от других детей.",2020-06-29T12:57:47Z,0
34,UgwxI9uvvmAV6RgvbFp4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,yaroslavna2000,"Максим меня удивил: умный, грамотный, интересный человек оказался.",2020-06-29T12:51:17Z,0
35,Ugyszw5kBmr4VGLQsrd4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Лена Субботина,Хорош во всех смыслах! И этот бывший  брак с самкой богомола абсолютный треш!,2020-06-29T11:58:36Z,0
36,UgwdwvkYxj8sJbT6cDF4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Александр Курлович,"Вся наша ""тилигенсия"" всегда хорошо ""понимает"" только одно - как обосновать желание сидеть на жопе ровно и ничего не делать, да ещё изображать высокоморальную брезгливость.",2020-06-29T10:25:48Z,0
37,UgwkY4hAGQealshTp7l4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Наталья Харчук,А что с Синдеевой....не очень...во всех смыслах,2020-06-29T09:40:26Z,0
38,UgwIqyOQUGFhDGVeub94AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Xenia M,"В Норвегии: карантин был, никакого масочного режима. Люди сознательно и ответственно отнеслись к положению. Даже на Свальбарде, который своевременно закрыли, люди усиленно мыли руки, хотя Корона туда не проникла. И теперь границы северных страх Европы открыты друг для друга, кроме Швеции.
В Швецию транспортное сообщение всё еще закрыто (странами-соседями), потому что там очень высокий показатели зараженных по Скандинавии и самый высокий процент погибших зараженных в Европе",2020-06-29T08:40:48Z,0
39,UgwkGGKu55fmToAfW8Z4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Aristash lab,"Синяша под феном , интересненько... Виторган принес или сама в гримерке ебашит?",2020-06-29T08:31:53Z,0
40,UgyyV_QcgKqSFsSVwLt4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Яна Глинская,"Включила, чтобы послушать Максима, но не дождалась, поняла, что придётся. Слушать много-много ведущую, и выключила. Извините, но вот так.",2020-06-29T05:59:05Z,0
41,Ugz5ZEo6BCcMR5WQd-R4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Irina S,"Ведущая размахивает руками , трогает лицо , сквозь зубы говорит,
Странно оделась ,,, много странностей",2020-06-29T02:45:47Z,0
42,UgyXySI0mjf6DSVBbXd4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Irina S,"Ведущая влюблена в себя ,а должна быть  в гостя !
Ну и дикцию поправить ,
Виторган интересен и искренен ;",2020-06-29T02:29:59Z,0
43,Ugz6NKjYUNu2Sh7L_eV4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Бон Бон,Восторг!!!,2020-06-28T23:21:34Z,0
44,UgyVXuIXlEQzBIuyMX14AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,ilya leo,мне показалось она его клеит,2020-06-28T22:38:04Z,0
45,UgyQ4dKv_5GFZYtCTsV4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Brother Sambuca,жаль максима чья жизнь в машине и метрах,2020-06-28T21:42:53Z,0
46,UgyVUJE6HOCkdi3NB_V4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Olga R,"Конечно Ксении только счастья....,.но как, как можно.... было...????",2020-06-28T19:53:06Z,0
47,UgwPvxppNWA711uZgr54AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,2,Elena I_G,"Не самое лучшее интервью с профессиональной точки зрения. Наташа...... Почему в ""шлёпках"",почему перебиваете гостя, почему так много о личном? Наталья..... Возвращайтесь. Здоровья Вам",2020-06-28T19:26:12Z,0
48,UgyzJ0G31zOOacZuuAd4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Katy B,"Не могу разделить восхищение большинства комментаторов Виторганом. Имея такую знаменитую семью, знакомства, образование так и не сыграл что-то значимое и запоминающее, но зато критически и подробно разбирает работы коллег в своих постах в инстаграме. Либо я ничего не понимаю, и Виторган настолько гениален, что просто ещё для его таланта нет ни сценариев, ни режиссеров",2020-06-28T15:38:41Z,0
49,Ugw4NC42z38Wkzxvz8F4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Lola Aziz,"Я думала, что Виторган вообще не будет говорить",2020-06-28T12:56:05Z,0
50,Ugxu0UGnqlUDHUZ1mbB4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,xerta,Ещё один актёр - великий мыслитель....... 🤣,2020-06-28T12:26:35Z,0
51,Ugy40nwPhNoRD8dSfR94AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Лидия Ло,"Как же тяжело слушать ведущую!!!
Ощущение, что собеседнику нужно быстрее успеть сказать свою мысль, что бы его не перебили! А ведущая в это время так нетерпеливо ждёт окончания ответа гостя, чтобы скорее уже высказать своё мнение и видение всего. Так кто здесь гость? У кого берут интервью? Невозможно досмотреть видео до конца, хотя гость интересный, только из-за неумения ведущей брать интервью (((  Испытала такой дискомфорт и напряжение от просмотра...",2020-06-28T11:46:33Z,0
52,Ugw-WAc8xlIxiX9zLth4AaABAg,_zHYrHjnxRc,Телеканал Дождь,1,1,Воробьева Светлана,Артикуляция ведущей оставляет желать лучшего...((( Невозможно же слушать нормально.,2020-06-28T11:08:38Z,0
53,Ugw-WAc8xlIxiX9zLth4AaABAg.9AS-mMCVuHZ9ASSB-zyfwk,_zHYrHjnxRc,Телеканал Дождь,0,0,Лариса Головченко,Жестикуляция тоже.Невозможно же смотреть!,2020-06-28T15:16:48Z,1
54,Ugyv2N6-C7UrboL_6Ex4AaABAg,_zHYrHjnxRc,Телеканал Дождь,1,1,Evfrosinia Grail,"Зачем лицо портить подтяжками и уколами?, стало хуже теперь",2020-06-28T10:19:58Z,0
55,Ugyv2N6-C7UrboL_6Ex4AaABAg.9ARvCwVlduB9AdQtKE_wFP,_zHYrHjnxRc,Телеканал Дождь,0,0,Aja Aja,И видно сразу,2020-07-03T06:56:24Z,1
56,Ugz42e939JqnV0-_E754AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Свободу мозгам !,После Лолиты гость норм,2020-06-28T10:07:18Z,0
57,Ugw0e4cq0JcB6gtjmfp4AaABAg,_zHYrHjnxRc,Телеканал Дождь,1,17,Marina Bagoyan,Смотрю из-за Виторгана.Ведущая в тапках ужасно не красиво,2020-06-28T09:47:36Z,0
58,Ugw0e4cq0JcB6gtjmfp4AaABAg.9ARrVt5mpLS9AdQ74efSs6,_zHYrHjnxRc,Телеканал Дождь,0,0,Aja Aja,Именно! Тапки!!! Меня аж передёрнуло.,2020-07-03T06:49:40Z,1
59,Ugx3AM5bc-1Qb0tmKPJ4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Вероника Бутузова,Дикция отвратительная.,2020-06-28T08:55:19Z,0
60,UgyLx-mNJbGx6CQ5rZx4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Анастасия,ох эта открытая обувь...,2020-06-28T08:51:38Z,0
61,Ugw4zxzQK8RIA_pk8xZ4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Наталья Л,Наталья очень красивая,2020-06-28T08:11:05Z,0
62,UgwQMkmGDnOWZBIb54F4AaABAg,_zHYrHjnxRc,Телеканал Дождь,1,0,Мэри Рувас,"Умница! Виторган умница в плане игнора голосования за поправки. 
Не хочется,чтобы власть принимала нас за полных дебилов.  И эти ""выборы"" по изменению конституции игра детишек в детском саду. Пусть играют те,кто не наигрался в своё время, а я только что послала на все четыре стороны двух девиц, пришедших ко мне домой, принуждающих  меня проголосовать.",2020-06-28T08:01:23Z,0
63,UgwQMkmGDnOWZBIb54F4AaABAg.9ARfLucUd6R9AdQVSf8U_p,_zHYrHjnxRc,Телеканал Дождь,0,0,nn gchkt,"Ну, и чем вы гордитесь? 
Отыгрались (""....послали..."") на  самых слабых",2020-07-03T06:53:00Z,1
64,Ugw1CYwH7NekHcUtuDd4AaABAg,_zHYrHjnxRc,Телеканал Дождь,1,1,Elena Wit,"Есть еще один похожий интервьюер.Это Донецкая Алена.А Виторгана слушать интересно,как всегда.",2020-06-28T07:54:44Z,0
65,Ugw1CYwH7NekHcUtuDd4AaABAg.9AReaAX8u4r9AV1_EPI7Da,_zHYrHjnxRc,Телеканал Дождь,0,0,Steample Frone,"Долецкая, может?",2020-06-29T15:22:02Z,1
66,UgySDDdsHOm-Nx_gRut4AaABAg,_zHYrHjnxRc,Телеканал Дождь,1,2,Katsiaryna,«Не верю!» Что-то неискреннее в Синдеевой...(((,2020-06-28T07:32:31Z,0
67,UgySDDdsHOm-Nx_gRut4AaABAg.9ARc2YOqLvD9AdQQBqswf7,_zHYrHjnxRc,Телеканал Дождь,0,0,Aja Aja,Пластика лица🤣,2020-07-03T06:52:17Z,1
68,UgwgAUsoJu8JhsGHNUx4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,5,Валентина Погудина,Все- таки Виторган - умница и приятный мужчина,2020-06-28T06:55:52Z,0
69,UgxIMfunf6dYMG26VZV4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Ольга Зайцева,"Очень нудная ведущая, абсолютно не уместная обувь.Вы же не на пляже. Максим красавчик!",2020-06-28T06:46:55Z,0
70,UgzwZn2E309-Os2L0Vp4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,Данила Поперечный Топ,Гость топ. После Лолиты было отвращение,2020-06-28T06:33:17Z,0
71,UgxWt5fLojnDdxYF5tl4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,2,Lisi Chka,"Максиму спасибо за гражданскую позицию. Хоть и женился на мажорке Собчак, но был всегда с народом",2020-06-28T06:06:59Z,0
72,UgyNwc7RVRMEv2xKlgp4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Wadoss,Футуролог - Виторган)))) Смешно как то...,2020-06-28T05:44:00Z,0
73,Ugx-LKE06Riax6NvZOV4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,2,бела скумин,Максим классный 💐,2020-06-28T05:35:23Z,0
74,Ugzhlu8ijAXiz4G-Mdd4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Наталья Ткалина,Какой хороший человек! Как вляпался в собчак? Карма..),2020-06-28T05:30:02Z,0
75,Ugxo4ZSEeBQb1wDeOit4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,2,Alex TOTAL,После душного разговора с похмельной Лолитой прям бальзам,2020-06-28T05:22:47Z,0
76,UgxgxoRzYHvxcqn1k0J4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,2,Alex TOTAL,Макс ещё легко отделался. Теперь привык есть лягушачьи лапки,2020-06-28T05:21:39Z,0
77,UgxoeAeWw3WOGbsAf_l4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,אולגה חייקין,Неудачное интервью.,2020-06-28T05:15:56Z,0
78,UgweEvwuO0TD1a74wkh4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Svetlana Mi,"Красавчик такой, конечно",2020-06-28T05:12:42Z,0
79,UgzGlpptlx7Z50qtUKR4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,3,Alexandra Kuznecova,"Наталья ,вот таких гостей больше. Таких как Лолита к Малахову, потому что врёт и плохо поет",2020-06-28T05:09:58Z,0
80,UgxKkGv4Fb5Vncp7DId4AaABAg,_zHYrHjnxRc,Телеканал Дождь,1,7,Alexandra Kuznecova,"Максим, ну как тебя угороздило полюбить Лошадь?",2020-06-28T05:07:45Z,0
81,UgxKkGv4Fb5Vncp7DId4AaABAg.9ARMUGS-_e-9AV9bhQGGC-,_zHYrHjnxRc,Телеканал Дождь,0,0,Руслан Иванов,"Мне всегда было интересно, как можно взять и ни за что оскорбить человека из-за внешности?",2020-06-29T16:32:16Z,1
82,UgwAeD3ZbN8cXPyJ4s94AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,главредХМ Ольга,"Даже не ожидала, что Синдеева такая бездарная ведущая(( Как формулирует вопросы, сколько всего попутно говорит про свои мысли, как мешает отвечать, даже порядок вопросов - фу((",2020-06-28T04:39:24Z,0
83,Ugw1P0-S1F2rzb1NYwx4AaABAg,_zHYrHjnxRc,Телеканал Дождь,1,15,Alionkiss,"Как задолбала Синдеева.  Когда она замолчит?! Только середина интервью, а меня бомбит.  Ужас. А потом посмотрела комментарии и поняла, что я не одинока.",2020-06-28T02:55:51Z,0
84,Ugw1P0-S1F2rzb1NYwx4AaABAg.9AR7O8utoMe9AVRX7z8AUm,_zHYrHjnxRc,Телеканал Дождь,0,0,Екатерина Радюк,"так да, тут чет все этим недовольны, ну рил сбивает с темы своими вставками",2020-06-29T19:08:48Z,1
85,Ugx6o_eOe7Htt0p0bHF4AaABAg,_zHYrHjnxRc,Телеканал Дождь,2,20,Юлия Яшина,"У ведущей ужасная дикция, слова ""цедит сквозь зубы"". Даже смотреть неприятно...",2020-06-28T02:49:31Z,0
86,Ugx6o_eOe7Htt0p0bHF4AaABAg.9AR6eiycnFw9AVQdsV2Xk7,_zHYrHjnxRc,Телеканал Дождь,0,3,Екатерина Радюк,"да, с ведущей что-то вообще прогадали, точно ей не про политику надо говорить",2020-06-29T19:01:07Z,1
87,Ugx6o_eOe7Htt0p0bHF4AaABAg.9AR6eiycnFw9ASNPJVKcba,_zHYrHjnxRc,Телеканал Дождь,0,2,Лариса Головченко,И все равно лезет в кадр!,2020-06-28T14:35:03Z,1
88,Ugw4d2FXr5w8jI-cy1h4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Lena Azarova,"Как Ксения Собчак обвела и продолжает обводить вокруг пальца умных людей? Глупа она и очень продажна, а жаль — могла бы пользу принести своей стране.",2020-06-28T02:22:07Z,0
89,UgzJChopfPXBJDNcfpd4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,2,Yuliya I,Что у неё с зубами? Или с челюстью,2020-06-28T02:12:20Z,0
90,UgzF9NbTpX_36_2OI_d4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,1,шарлотта корде,"Макс, ты такой красивый мужик, ну сбрось ты хоть 10 кило!",2020-06-27T22:36:42Z,0
91,Ugxqeo_deqF7zyQYuO14AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,2,Xenia Mariss,Тьху.. фиговая женщина берёт интервью,2020-06-27T22:19:50Z,0
92,Ugyar-RVM-a_xLUfFx94AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,2,Xenia Mariss,Интервью у  неё??? Много говорит мадам,2020-06-27T22:18:32Z,0
93,UgzPuy1s_r9xFWfhAP94AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Лилия Никитина,"Сдается мне, все-таки Максим еще переживает свой развод. Пройдет года три, и точно все залечится и зарубцуется.",2020-06-27T21:58:19Z,0
94,UgxqEBxBDrsdFmVXOHl4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Лилия Никитина,"Здравомыслящий, честный, довольно-таки мужик, но сейчас нужны герои, с сильным огнем внутри!",2020-06-27T21:55:14Z,0
95,UgyFkkfhM8bmyV_2uBV4AaABAg,_zHYrHjnxRc,Телеканал Дождь,1,0,i l,"Про невостребованность) почитайте про индустриальную революцию , которая произошла 150 лет назад. Исчезли множество профессий, но потом нужны были новые кадры с другими квалифициями и постепенно все перестроилось...так , что ничего страшного",2020-06-27T20:54:46Z,0
96,UgyFkkfhM8bmyV_2uBV4AaABAg.9AQU3VqGMKt9AdRFSC1m_b,_zHYrHjnxRc,Телеканал Дождь,0,0,nn gchkt,"В общем-то и сейчас очевиден дефицит рабочих специальностей. 
Если в  2000-2007 говорили жесткой нехватке юристов, экономистов, менеждеров и управленцев, то сейчас очевиден переизбыток и несотребованность.",2020-07-03T06:59:33Z,1
97,Ugx3nT7ZAMYQty5qLBF4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,ля ля,"У нас все оk с медициной? Вы что там курите? Не смотрите зомбоящик)). Ох москвичи, в отрыве от российской реальности, Москва ведь не Россия))
Поставите вы «да» или поставите вы «нет», это никакого значения не имеет, потому что им важна только явка, для того чтобы лигитимизировать их нахождение у власти. Они сами нарисуют тот результат что им нужен, а перепроверять как на самом деле проголосовали люди никто не будет.
Выход один-не ходить на выборы вовсе!",2020-06-27T20:22:48Z,0
98,Ugz19oNxrMHH4ngHF314AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,0,Vad Kom,синдеева всегда великалепна,2020-06-27T20:22:46Z,0
99,Ugysu3979p2D93AxKRh4AaABAg,_zHYrHjnxRc,Телеканал Дождь,0,30,ля ля,"Ведущей слишком много. Абсолютно неинтересно слушать, какие прозрения её посетили. Ещё и перебивает гостя. Я включила видео чтобы его послушать, а не ведущую!",2020-06-27T20:07:45Z,0
100,UgwbUOp_Af9Q5wi0COd4AaABAg,_zHYrHjnxRc,Телеканал Дождь,1,1,Ирина Гросс,Наталья ! Сколько можно трогать волосы и размахивать руками??? Это же просто неприлично!,2020-06-27T18:01:55Z,0
101,UgwbUOp_Af9Q5wi0COd4AaABAg.9AQAHWFNJKQ9AV1mjOOOK4,_zHYrHjnxRc,Телеканал Дождь,0,0,Steample Frone,"Она ваши волосы не трогала, однако",2020-06-29T15:23:52Z,1
