,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugw_TieR_hwnFvFpcyF4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Сагид Султанов,"Слава Илону Маску , Рогозина на мыло 🧼",2020-07-03T10:49:14Z,0
1,UgyxhemImBFRb73NPQx4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,1,Сагид Султанов,Журналист  херево управляет Роскосмосом и такие результаты 😀,2020-07-03T10:44:22Z,0
2,UgwsQRXlLwLx_JOwoYF4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,коля колянов,он дурак в глазах роскосмоса' столько бобла на развития космоса потратил?!! могбы спиздить и онулировать призедента чтобы и дальше пиздить,2020-07-02T14:02:19Z,0
3,UgzzTwOVaNk_2AbIXE14AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,коля колянов,"ни чем этот долбоеб не ответит против наса, он только ворует деньги",2020-07-02T13:59:06Z,0
4,UgxU-sPt_HWsGOPd8sd4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Arman Iskaliyev,"Интересно, посадит ли ввпутин на бутылку рогожина",2020-06-27T16:57:50Z,0
5,UgzSUos0G8gvWUauSnl4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,LR RR,"Представляете? , а у нас в семье тесла и она работает и даже ездит 3 года и за все время ее работы, мы поменяли только чтото в ходовой части (расходники) аж на 4800₽.  Не думаю что этим согут похвастаться автовазовцы",2020-06-27T06:36:39Z,0
6,UgwC2UexGCzzXlwmTHR4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Alexander Shaldybin,"Ну ваш Рогозин совсем шизанулся! Про батут ладно, Маск ему втер ответку по самое немогу! Но насчет уничтожения Марса Маском, это вообще из той же оперы, что и у Путина с управляемым полетом боеголовки в атмосфере на второй космической скорости! Специально одних идиотов в правительстве РФ собрали? Чтобы весь мир посмеялся?",2020-06-26T09:13:02Z,0
7,UgxJ1M9y9ucHvt40fpV4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Филип Филипыч,Блевотина интереснее чем речь плешивого,2020-06-25T09:09:07Z,0
8,UgzFnwrg1YJkO6hqgvd4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Не рождённый Революцией,"Эра космических кораблей 60 готов прошлого века закончилась, спасибо рагозин ты убил весь труд жизни Королева и народа России, надеюсь твои вилы уйдут туда же.",2020-06-24T16:52:18Z,0
9,UgxcNUSTZqqvPhkTOh54AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Наталья Елисеева,"Ничего, Стражи галактики защитят от Маска",2020-06-24T09:01:03Z,0
10,UgwxQex7eOhrvzlIboh4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Aleksandr Zareckij,"Да ну его на хер, Рогозина.Не будет ответа: кишка тонка.Воздух потрясёт очередными глупостями и угрозами, на том совсем сдуется",2020-06-24T05:10:22Z,0
11,UgzDZu1e-iOIuHNbuHh4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Друг истины и Платона,Мишка фишман башковит у него предвидение. Позвольте этому шифману высказать свое неудовольствие. Слушал его дилетантские высказывания о плоской шкале. Я его понял так-я жадный я делиться не хочу.,2020-06-23T23:28:39Z,0
12,UgxxBSazIEcE_Baf3IF4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,HGE HREH,"зря Вы так! Росс космос Маску дает  фору а потом обнулят чекиста примут поправки и запустят  наших космонавтов на сверх ракете на солнце а чтобы не сгорели то полетят  ночью, в правительстве и в росс космосе  не дураки ведь воруют ))))",2020-06-22T19:50:51Z,0
13,UgzJKMlVRDqT9_OR5At4AaABAg,-eTbGW3LsH0,Телеканал Дождь,2,0,Станислав Маленков,"Американский предприниматель Илон Маск в интервью The National Interest рассказал о причинах успеха своей корпорации и первом полёте многоразового пилотируемого космического корабля Crew Dragon. Основатель SpaceX отметил общие усилия сразу нескольких государств в изучении космоса. Отдельно Маск выделил Россию, «без которой полёт 30 мая просто бы не состоялся».
«Я учёный, а не политик. Как учёный заявляю, что в настоящий момент американская космонавтика не может обойтись без помощи России. Дело в том, что у нас сегодня нет своих ракетных двигателей. Даже в нашем Crew Dragon половина деталей производится в России, а главное — это двигатель РД-180. Я однажды был на заводе «Химавтоматика» в Воронеже и наблюдал, как производится этот уникальный аппарат. Сейчас Америка не может делать свои двигатели, а к такому двигателю как воронежский РД-180 мы при благополучном стечении обстоятельств придём через 40 лет. А  полету Crew Dragon мы обязаны двигателям из Воронежа», — сказал Маск.
Изобретатель добавил, что пытался несколько раз устроиться на работу в «Роскосмос», но был забракован отделом кадров по ряду причин. У американца не было надлежащего образования, он плохо знал русскую классику и не имел нужных прививок.",2020-06-21T15:05:56Z,0
14,UgzJKMlVRDqT9_OR5At4AaABAg.9AAPNKvvx1r9AShSBqpMUY,-eTbGW3LsH0,Телеканал Дождь,0,0,саша,"Станислав Маленков
Я даже нашёл откуда ты этот бред взял. С сатирического сайта, придурок, это шутка.",2020-06-28T17:38:57Z,1
15,UgzJKMlVRDqT9_OR5At4AaABAg.9AAPNKvvx1r9ACEwjLIq-w,-eTbGW3LsH0,Телеканал Дождь,0,0,Emil Safarov,Я так понял  Илон Маск в своем интерьвью сказал что Falcon9 летит на рд-180? 😁,2020-06-22T08:13:16Z,1
16,Ugxk-Widg5OS7j3Wlt94AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,1,Владимир Алексеевич Бугаенко,Рогозин молодец! Пока Маск тратит свои деньги на космос? Этот фрукт станет миллиардером за счёт космоса! Знай наших эффективных менеджеров?,2020-06-20T18:51:23Z,0
17,UgxUj4a7EIWN43BEulV4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,2,Андрей Шаманов,Как подорвало пердаки скрепных))),2020-06-20T13:20:39Z,0
18,UgwF35-xZNqd-oeQ8Ex4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Павел Линд,"у нас страна на грани распада,какой космос,лучше бы людей накормили и собственное производство наладили.",2020-06-20T09:30:37Z,0
19,UgxKW91N2ncgdgHYEzl4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Александр Хряпкин,"Я лет 10 назад ещё писал что РФ за правления Путина окажется в глубокой жопе . Грубо , но мягче не скажешь .",2020-06-19T15:22:46Z,0
20,UgzNHmFmDWphpOkRTkZ4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Александр Бетин,Импортозамещение по американски.,2020-06-19T15:18:22Z,0
21,UgwSHwD9VmJRYlOlfYN4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Me Metelkin,Поклонение бабам в России на грани общего безумия.,2020-06-19T08:09:15Z,0
22,UgyBnniv3IhpjkBzx-N4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Me Metelkin,Зато бабы в России развернулись хорошо. Вольготно бабам в России.,2020-06-19T08:05:52Z,0
23,UgyP645xUIpy5RSTLiF4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Юрий Сагкаев,Рагозину не лзя отару доверят а Путин ( мачо) Роскосмос доверил.,2020-06-19T07:53:21Z,0
24,Ugx2Hk5M8oHIcHrKGPB4AaABAg,-eTbGW3LsH0,Телеканал Дождь,4,0,Алексей Пак,а что исторического?,2020-06-19T02:43:10Z,0
25,Ugx2Hk5M8oHIcHrKGPB4AaABAg.9A3vmQRJTqt9A78kikI9Ca,-eTbGW3LsH0,Телеканал Дождь,0,0,Алексей Пак,"@Edward_ V  спасибо за развернутый ответ , мне надо было весь ролик посмотреть .",2020-06-20T08:43:00Z,1
26,Ugx2Hk5M8oHIcHrKGPB4AaABAg.9A3vmQRJTqt9A71hrI5qLY,-eTbGW3LsH0,Телеканал Дождь,0,0,Edward_ V,"@Алексей Пак Государство не занимается благотворительностью...
Спейс икс и еще несколько других компаний выиграли конкурс COTS за что получили деньги на разработку РН.
Это говорит о том что компания и их ракета неплохо себя зарекомендовала.
Или Спейс икс нужно было отказаться от конкурса?
Может быть Спейс икс нужно было отказаться от программы CRS которую они тоже выиграли и получили выгодные заказы по доставке грузов на МКС?
Может быть вообще не брать заказы от государства? Ну а че? Это ж зашквар наверное...",2020-06-20T07:41:26Z,1
27,Ugx2Hk5M8oHIcHrKGPB4AaABAg.9A3vmQRJTqt9A6AQ7IdWeg,-eTbGW3LsH0,Телеканал Дождь,0,0,Алексей Пак,"@Edward_ V  значит я заблуждался считая , что государство инвестировало этот полет .",2020-06-19T23:38:17Z,1
28,Ugx2Hk5M8oHIcHrKGPB4AaABAg.9A3vmQRJTqt9A5lIP0w2lX,-eTbGW3LsH0,Телеканал Дождь,0,0,Edward_ V,"Первая частная компания запустила людей.
До этого запуском людей занималось государство США, СССР,РФ,Китай и теперь Спейс икс.",2020-06-19T19:50:02Z,1
29,UgwD_Kp5gQ2VyYdGI_94AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Шов Haki,Какой же крутой костюм разработан,2020-06-18T17:56:04Z,0
30,Ugx1nM6yKU0iPf_FtV14AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Дмитрий Поваров,Очень красиво!это будущее,2020-06-18T15:00:11Z,0
31,UgzJMCnwVZNZwpH_6It4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Владимир Шелуханов,Рогозина вместе с семьёй на Марс! Скоро его сынок и завод ИЛ похерит!,2020-06-18T13:27:15Z,0
32,UgyDjKTltOLbk-hnY5R4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,best best,"Посмотрите политраша Руслана Осташко, как он поддерживать роскосмос",2020-06-18T08:42:44Z,0
33,Ugx8EsJcatvEO2-5hMJ4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Свободный Гражданин,"Ну ниче , победим ещё раз Германию ценой в 27 000 000 граждан и украдем новые технологии , те что в 45 наворовали устарели , по сей день изобретение Шмайсера восхваляем",2020-06-17T18:24:50Z,0
34,UgyutEgQvoaSQKjTEOF4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,1,Kuat Abai,"Лол если технологии не похожи на то что осталось от СССР, то это сразу кино снимают. Взрослые мужики отмазки как у школьников. Но бабки мутят лопатами. Просрали,  и не могут признать",2020-06-17T10:50:16Z,0
35,UgyOHiqd4iwoHAibigV4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,2,Marat Siberian,Никогда так не процветала НАСА как при Рогозине!,2020-06-16T10:55:33Z,0
36,UgzNWA2mFgMUT8F02fd4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,1,Gary Leon,*Рогозин ответит своим очком.*,2020-06-16T06:20:38Z,0
37,Ugz8RVLxcHp_T_CU2np4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Михаил Арбузов,"Что больше всего удручает в этом скотном дворе, так это то, что официальная власть гнет свою бесконечную линию в свою сторону без оглядки на разного рода критику, недовольство и прочие шумы. Как Герасим из ""Му-му"". Похер, что говорят, думают, спрашивают эту глухонемую власть. И пока никто ни за что не ответил и никогда не ответит.",2020-06-16T03:46:32Z,0
38,Ugwa7RX7YrX1N2zkxaZ4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Роман Атаманов,А рогозин лифт сделает,2020-06-15T19:39:29Z,0
39,UgwfWTzz8bCl1usXijN4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Ванька Я,Бренд пропагондона,2020-06-15T11:49:28Z,0
40,Ugye_BY9p2GlryMfv3B4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Равшан Бахтибеков,Ээх Рогозин мне стыдно за тебя,2020-06-15T02:22:58Z,0
41,UgzHhHqcT9LLdH8hIv94AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,острый перчик,"Наши чиновники-это потребляди в чистом виде!!!скоро срать деньгами будут,а и все мало!!!",2020-06-14T20:51:46Z,0
42,UgyPNxOfGU9M-0r-1HR4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Advokat,Рогозину коров пасти доверить и то опасно.,2020-06-14T18:43:09Z,0
43,UgwVCe7kLQkrBk7wXox4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Мое мнение,Дибилы правят миром,2020-06-14T16:47:48Z,0
44,Ugyn1bTfu_rzpHV_ioB4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Vladimir G.,"Боже. Мой 
Где вы взяли этого комментатора",2020-06-14T16:45:52Z,0
45,UgwCtifSbOvJnHFF5Eh4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Tema 2033,Ждем ответки роскосмоса= ) Без злорадства = ),2020-06-14T16:06:34Z,0
46,Ugxk3cVUfHEDbz_QEJB4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,James Bugsters,"Чем же оно историческое? Спейс-Х и Наса вместе с Роскосмосом курят в стороне, пока Китайцы выращивают в космосе растения и давно уже строят свои летательные аппараты в космос. Столько вони вокруг резиновых сапог Илона Маска и батута Рогозина, что просто лицо ладонью прошибаешь. Обсасываете это со всех сторон.",2020-06-14T14:24:22Z,0
47,UgxwASkUe3fVBG2N3J14AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Дмитрий Иванайский,"Что это за истерический клоун? Хотя, что взять с дождя.",2020-06-14T12:12:00Z,0
48,UgzaIQYpvsKagTHCLf54AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Kamni Sneba,"Фалкон, фалкон, подууумаешь - в россии фЛаконы уже давно в спросе...",2020-06-14T10:11:52Z,0
49,UgyY2FChBVdSoHUQuCV4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Dmitriy Jeweler,Elon Musk живи 💯 лет 🙏,2020-06-14T06:40:15Z,0
50,UgwNdibsJv8faRVnoIB4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,1,Zoromur67 Mur,Шо троли сосёте) недобитки...слава Сталину.,2020-06-14T03:27:57Z,0
51,UgymmR8d38cxw36hIIl4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Damir k5,Телевизор это ложь! Люди не верьте тому что говорят по телевизору! Телевидение захвачено путинистами лет 25 назад! Нет обнулению путина! Путина нужно под трибунал! Судить за все что он натворил за 20 с лишним лет с Россией!,2020-06-14T00:38:32Z,0
52,UgydtrTo6PXL_Ky7uWZ4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Damir k5,Телевизор это ложь! Люди не верьте тому что говорят по телевизору! Телевидение захвачено путинистами лет 25 назад! Нет обнулению путина! Путина нужно под трибунал! Судить за все что он натворил за 20 с лишним лет с Россией!,2020-06-14T00:38:20Z,0
53,Ugw8VB3BHLrY48wTpGN4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Дмитрий Зуб,Скоро россию в космос пускать не будут,2020-06-13T21:32:01Z,0
54,Ugz9L1teQIWOd37fph54AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Дмитрий Зуб,У них даже робы помоднее,2020-06-13T21:31:10Z,0
55,Ugy-wf-yyG5IltiSPV94AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,ActMedInfo,"Он ещё и дурак... Гуманность может быть применена только к живым организмам, но никак не к планете. Да и два термоядерных взрыва для планеты это что укус комара (и даже меньше)... Идея с ядерной бомбардировкой вполне себе неплоха. Это позволит увеличить плотность атмосферы и защитить микроорганизмы от космических лучей. Потом заселить грибками и бактериями, которые начнут восстанавливать CO2, Fe2O3... с выделением кислорода.",2020-06-13T21:14:08Z,0
56,UgxZinPshNeIWSrU7KR4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Uganda Zimbabwe,"Надо извлекать плюсы из этого положения,зато все узнали что братки управлять страной не могут,а что будет если вдруг гопота станет у власти,вот пожалуйста смотрите,по всем фронтам фейл",2020-06-13T20:46:08Z,0
57,Ugyk7DjvkYYnSFySkqZ4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,1,Raul Fujimoto,"09:10
14:41
05:27",2020-06-13T17:25:18Z,0
58,UgwV1PaQ7du5_8p983l4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Oleg Bolika OBB,"Я думаю шамана Габышева в космос отправят это и будет ответка с российской стороны, ну а габышем спомощью духов, уберет с орбиты все спутники старлинк. Сейчас габышев проходить клинический отбор, я думаю он скоро готов будет к вылету, раз Путина не смог свергнуть, то хоть спутники опустит на землю",2020-06-13T14:40:12Z,0
59,UgxUKhPJbfE-Jh0p-vd4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,1,оп ъоп,"Что за лютый бред! Если Маск молодец, это не значит, что Росси больше не космическая держава.",2020-06-13T13:09:55Z,0
60,Ugw9HTFmveswIxWsfCZ4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,1,Игорь Белок,Всё что умеет Россия приписывать успехи себе Советского Союза а сама по себе Россия мыльный пузырь ни о чём!!!!!👍👍👍👍🤮🤢🤮🤢🤮🤢🤮,2020-06-13T09:48:10Z,0
61,UgzuHfH_22A7wrMMbHJ4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,4,Порядочный Шмот,"Илон Маск это будущее, а наш это каменный век 🤡🖼",2020-06-13T08:39:32Z,0
62,Ugzex2ev0R3dl2af5Ql4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Samir Agayev,"S7 space просто поставили перед фактом, что не видать им ни ракет, ни условий. А я более чем уверен, что Филев был бы не хуже Маска.",2020-06-13T07:37:58Z,0
63,UgyAjqB0rzASG7xXnPV4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,3,Samir Agayev,"Обидно, обидно, обидно. И эти бездарные ""государственники"" руководят нами.",2020-06-13T07:37:44Z,0
64,UgyfKzANiXnfzlyjXgp4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,1,Алексей Варлаков,"И кстати, рад за американцев) рад что больше не будут на старых ракетах летать. И рад что наши богачи не заработают - так им и надо, чтоб они обеднели. Надо было умнеть, а не богатеть.",2020-06-12T23:47:22Z,0
65,UgyO7uzhLrODDwNXNbh4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Алексей Варлаков,"Да ничего хорошего с Роскосмоса не будет пока есть в руководстве Рогозин. Рогозин - кыш от российского космоса! И прочие политиканы, практически нет нормальных..",2020-06-12T23:43:42Z,0
66,UgwGu0E8y-IMObWz70x4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,soldatspb,А что у ведущего с руками? Он без рук то говорить умеет? И брови лучше бы не тянуть до затылка.,2020-06-12T17:01:39Z,0
67,Ugxn24JEKm7h4zZswc14AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Александр Деникин,Это конец.,2020-06-12T16:45:12Z,0
68,Ugwc4r2UxZLnvMHzwbt4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,3,ПАВЕЛ ЮРЬЕВИЧ,Обосрался Рогозин. Может уже пора менять засранцев  на реальных людей и не только в космосе...,2020-06-12T16:10:13Z,0
69,Ugz0_3YSqcTx3yXpQqR4AaABAg,-eTbGW3LsH0,Телеканал Дождь,1,0,валерий светлов,"Что за щенячий восторг , за девять лет умудрились запустить одну единственную ракету , а у вас счастья полные штаны",2020-06-12T15:59:17Z,0
70,Ugz0_3YSqcTx3yXpQqR4AaABAg.99oKKBerAcH99sQGtX6diq,-eTbGW3LsH0,Телеканал Дождь,0,1,Ruslan Evgeniev,Ну лично я рад что у этих бомжей из Росскосмоса отвалился заработок в 300к зеленых),2020-06-14T06:08:13Z,1
71,Ugwbtebj1NBY2sEwhmJ4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Статист 2101,Илон Маск  ты красава. Уделал Рогозина по полной программе. Делай что задумал и никого не слушай. Желаю удачи и новых красивых и эффектных стартов. Удачи.,2020-06-12T13:37:30Z,0
72,Ugzd200vMnRUkmWtJqZ4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Евгений Кравцов,Спецстрой кстати сформировали обратно!)) 😉,2020-06-12T07:58:46Z,0
73,UgzppgxCl-Tt299r3rV4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Иван Иванов,Как вообще журналиста можно было поставить во главе космоса???!!! Только для того чтобы деньги воровать. Путинские халуи.,2020-06-12T07:56:48Z,0
74,UgyhQDnxGI9SF-uONyZ4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Sirim ABDRAZAKOV,Рос вешейся,2020-06-12T07:17:02Z,0
75,UgxX3UVleoGO-ccSAX14AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Коля Иванов,"любое тупинское дело приводит к вопиющей коррупции и воровству,везде и по всюду,по другому они просто не умеют и не хотят ! а потом у тупинских подельников появляются из ниоткуда миллиарды и дворцы ,на которые им даже с их огромной зарплатой пришлось бы тысячелетия ""руководить "" !",2020-06-12T07:11:19Z,0
76,Ugy8hcNA9l-ODYunURd4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,1,Ded Moroz,😮,2020-06-12T06:46:28Z,0
77,UgwidXR6yWko5DpsS954AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Джон Пупкин,Илон выйграл априори 🤣🤣🤣🤣🤣,2020-06-12T06:21:42Z,0
78,UgyfDa0wEhGTz-CCJkF4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Олександр Ливч,Россия начала завидовать,2020-06-12T04:42:55Z,0
79,UgwUcyyj6Am28C0mzF94AaABAg,-eTbGW3LsH0,Телеканал Дождь,3,0,михаил сокорин,"НАСА и Роскосмос это одна контора,даже логотипы одинаковые,у кого со зрением порядок тот увидит сходство,Маск и Рогозин это одна гопкомпания по осваиванию бюджетных средств,они пешки их сольют когда придет время,потом назначат новых,и те новые снова начнут всем рассказывать как космические корабли бороздят просторы большого театра,кстати кто ещё не заметил такая схема применяется повсеместно,то есть меняются люди на должностях все остальное не меняется,система.А если серьёзно есть мнение,что всё это большая афёра,ни кто ни куда не летает,выделяются просто колоссальные деньги,всё засекречено,проверить ни чего нельзя,очень удобно неправда ли,да и на самом деле,что изменилось с 1961 полёт Ю.А.Гагарина,ничего,а ведь 60 лет вот уже как прошло,есть мнение что и полёт Гагарина фейк,не хочется конечно в это верить,но то что эти товарищи ссут нам в уши это сто процентов,кто не верит это ваш выбор,но если задаться вопросом,а какой результат,какие достижения,хоть что то за 60 лет явите людям,при том как сейчас шагнуло видео фото,у каждого человека включая детей есть телефон на который можно сделать качественную съёмку,а при их возможностях и космических технологиях вообще не вопрос,но и тут ни хера,увы одни обещания и красивые истории как скоро мы освоим космос,вот вот и снова промашка,и так из года в год,из десятилетия в десятилетие,из поколения в поколение,а тех кто в 1961 году был свидетелем полёта Ю.А.Гагарина уже в живых нет,а если и есть они уже не хера не помнят,каждому поколению мозги промывают,следующее тупее предъидущего,нынешние поколение что вчера было не помнит,знания им вообще не нужны,не все конечно такие,но многие,их так в современных школах,институтах,университетах учат,ну что б Гоголя от Гегеля не отличили.Вот и получается,как говорит Богдан Титомир,,пипл хавает,,пипл это с английского люди,хавает принимает на веру всё абсолютно.Получается и отчитываться собственно не перед кем,ни кто не предъявляет,всех всё устраивает,большинство отупело до нельзя,до безобразия,можно дальше спокойно ссать в уши и тратить денежки.Всех Люблю.Всем Благо Дарю",2020-06-11T23:33:10Z,0
80,UgwUcyyj6Am28C0mzF94AaABAg.99mZTa3xRmC9Abe-e0RbMn,-eTbGW3LsH0,Телеканал Дождь,0,0,саша,"@михаил сокорин Сократ знал больше тебя. Уже в те времена знали что Земля шар, а ты в 21 веке дико тупишь.",2020-07-02T14:21:15Z,1
81,UgwUcyyj6Am28C0mzF94AaABAg.99mZTa3xRmC9Aa3oEqtw0z,-eTbGW3LsH0,Телеканал Дождь,0,0,михаил сокорин,"@саша Я знаю только то, что я ничего не знаю,но многие не знают и этого.Сократ",2020-07-01T23:37:00Z,1
82,UgwUcyyj6Am28C0mzF94AaABAg.99mZTa3xRmC9AShjJM7Mcs,-eTbGW3LsH0,Телеканал Дождь,0,0,саша,"Вымирающий вид ""плоскоголовый"".",2020-06-28T17:41:25Z,1
83,UgwXVgI9VXeu44XfZqJ4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Александр,Ракете с 8года перестали летать. Устали доставать со дна моря,2020-06-11T20:22:53Z,0
84,UgyBZNhEaiDqEBOEB1N4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Александр,"Про Неноксу помните? Ну ,вооот!",2020-06-11T20:13:14Z,0
85,UgyvmFKWpvBDhge-CIR4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Александр,У нас только питарды. И то дальше летают,2020-06-11T20:12:18Z,0
86,Ugy7CBfYv-HGf2r52Lx4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Раушан БС,Тупые русские пока с голой жопай вякали о величий им снова показали что технологий уже устарели и это факт,2020-06-11T17:47:03Z,0
87,UgzrWjwU91oGd_QrDCd4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,iipoctoboba,"Чота позорище какое-то... Угробили систему образования - получили. Не только в космосе - во всем. Организация хромает? Неудивительно. Сват, брат а не специалисты на должностях. И и так везде. Позорище.",2020-06-11T14:54:18Z,0
88,Ugy8CEqQk4LU4ebrsEJ4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,REUNION Live,Рогозианин(начало),2020-06-11T11:36:37Z,0
89,UgxxPKj8FmI8fHNnmq54AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Василий Климовской,"Ну вы знаете, эти капиталисты...",2020-06-11T08:08:57Z,0
90,UgzFVn2GBEDKWeArviR4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Павел Корчагин,"Надо на эти ""Протоны"" посадить всю путинскую шоблу, всю, до последнего паразита и отправить в космос. Пусть летят. Пожелаем им полета в одну сторону.",2020-06-11T06:23:07Z,0
91,UgyJlSQW5VDTetf4RYV4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Castigator,"Наконец-то грейтовая повторила полет Гагарина 1962 года (и то пока неполностью), 60 лет прогресса таки не прошли зря. Забавно смотреть, как демшизики кончают фонтаном от такого мегапрорыва.",2020-06-11T06:22:30Z,0
92,UgweOudlM-cjfEJMzut4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Mihai Ibanishtyanu,"Папа Рогозина был бы недоволен сынулей. Оле́г Константи́нович Рого́зин (31 октября 1929, Москва, СССР — 24 марта 2010, Москва, Россия) — советский организатор оборонной промышленности и учёный. Генерал-лейтенант, Герой Социалистического Труда, заместитель начальника службы вооружений Министерства обороны СССР (до 1989 года). Профессор, доктор технических наук. Отец российского политика Дмитрия Рогозина.",2020-06-11T05:12:43Z,0
93,UgxATU59_2HoNLmDYVp4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,3,Հայաստան Երեվան,🤍🇺🇸🤍,2020-06-11T00:14:37Z,0
94,Ugyb1705UWnKiS3-vQd4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Алексей Черников,Почему я не удивлён?,2020-06-10T22:31:12Z,0
95,UgwlP4k1Ub-aGXfEhyF4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Аббосхон Мусабаев,"Я узнал этого ведущего это Робот Вертер из фильма Гостья из будущего. Значит ты снова прилетел, а как там Алиса поживает ты лучше про нее расскажи",2020-06-10T20:16:20Z,0
96,UgwdxPc2p2t8E8qk1Mh4AaABAg,-eTbGW3LsH0,Телеканал Дождь,0,0,Non stop,"Рогозин шут, иди в цирке клоуном работать",2020-06-10T18:57:08Z,0
